42.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
13:14:38.0 (263047)|USER_INFO|[EXTERNAL]|005i0000002qYvT|anton@igate.com|India Standard Time|GMT+05:30
13:14:38.0 (299514)|EXECUTION_STARTED
13:14:38.0 (306181)|CODE_UNIT_STARTED|[EXTERNAL]|0660H000004OdRk|VF: /apex/docapp
13:14:38.0 (1994937)|VF_DESERIALIZE_VIEWSTATE_BEGIN|0660H000004OdRk
13:14:38.0 (7246257)|HEAP_ALLOCATE|[72]|Bytes:3
13:14:38.0 (7312469)|HEAP_ALLOCATE|[77]|Bytes:152
13:14:38.0 (7326320)|HEAP_ALLOCATE|[342]|Bytes:408
13:14:38.0 (7339146)|HEAP_ALLOCATE|[355]|Bytes:408
13:14:38.0 (7350896)|HEAP_ALLOCATE|[467]|Bytes:48
13:14:38.0 (7404353)|HEAP_ALLOCATE|[139]|Bytes:6
13:14:38.0 (10485207)|VF_DESERIALIZE_VIEWSTATE_END
13:14:38.11 (11084876)|SYSTEM_MODE_ENTER|true
13:14:38.11 (11264924)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:38
13:14:38.11 (11289188)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
13:14:38.11 (11311758)|SYSTEM_METHOD_ENTRY|[1]|PageMessagesComponentController.PageMessagesComponentController()
13:14:38.11 (11317728)|STATEMENT_EXECUTE|[1]
13:14:38.12 (12219319)|SYSTEM_MODE_ENTER|true
13:14:38.12 (12272142)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
13:14:38.12 (12280954)|VARIABLE_SCOPE_BEGIN|[88]|this|ApexPage.PageMessagesComponentController|true|false
13:14:38.12 (12338576)|VARIABLE_ASSIGNMENT|[88]|this|{}|0x196b6891
13:14:38.12 (12346161)|VARIABLE_SCOPE_BEGIN|[88]|escape|Boolean|false|false
13:14:38.12 (12356602)|VARIABLE_ASSIGNMENT|[88]|escape|null
13:14:38.0 (12525782)|SYSTEM_MODE_ENTER|true
13:14:38.0 (12548298)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
13:14:38.0 (12556070)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:248
13:14:38.0 (12560497)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:44
13:14:38.0 (12568388)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
13:14:38.0 (12575717)|METHOD_ENTRY|[1]|01p0H000007gCe8|docappcontroller.docappcontroller()
13:14:38.0 (12580857)|STATEMENT_EXECUTE|[1]
13:14:38.0 (12584540)|STATEMENT_EXECUTE|[1]
13:14:38.0 (12586185)|STATEMENT_EXECUTE|[153]
13:14:38.0 (12590303)|METHOD_EXIT|[1]|docappcontroller
13:14:38.0 (17050668)|SYSTEM_MODE_ENTER|true
13:14:38.0 (19321825)|SYSTEM_MODE_ENTER|true
13:14:38.0 (20319553)|SYSTEM_MODE_ENTER|true
13:14:38.0 (20554444)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:40
13:14:38.0 (20566899)|VARIABLE_SCOPE_BEGIN|[112]|this|docappcontroller|true|false
13:14:38.0 (20631790)|VARIABLE_ASSIGNMENT|[112]|this|{"aptdum":"0x193669df","Docdum":"0x74a09b1","Docmap":"0x43bb55a4","timewraplistInitial":"0x3c02161f"}|0x23f17285
13:14:38.0 (20643121)|STATEMENT_EXECUTE|[112]
13:14:38.0 (20645144)|STATEMENT_EXECUTE|[114]
13:14:38.0 (20660132)|HEAP_ALLOCATE|[114]|Bytes:4
13:14:38.0 (20707421)|VARIABLE_SCOPE_BEGIN|[114]|options|List<System.SelectOption>|true|false
13:14:38.0 (20730736)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
13:14:38.0 (20742372)|VARIABLE_ASSIGNMENT|[114]|options|[]|0x1650f8d1
13:14:38.0 (20747934)|STATEMENT_EXECUTE|[115]
13:14:38.0 (20754705)|HEAP_ALLOCATE|[115]|Bytes:8
13:14:38.0 (20808708)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
13:14:38.0 (20861239)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"aptdum":"0x193669df","Docdum":"0x74a09b1","Docmap":"0x43bb55a4","timewraplistInitial":"0x3c02161f"}|0x23f17285
13:14:38.0 (20875195)|STATEMENT_EXECUTE|[116]
13:14:38.0 (20904537)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"aptdum":"0x193669df","Docdum":"0x74a09b1","Docmap":"0x43bb55a4","timewraplistInitial":"0x3c02161f"}|0x23f17285
13:14:38.0 (20938221)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
13:14:38.0 (20957743)|HEAP_ALLOCATE|[117]|Bytes:237
13:14:38.0 (21081892)|HEAP_ALLOCATE|[117]|Bytes:5
13:14:38.0 (21130675)|HEAP_ALLOCATE|[117]|Bytes:24
13:14:38.0 (21142236)|VARIABLE_SCOPE_BEGIN|[117]|doc|Doctor__c|true|false
13:14:38.0 (21258057)|VARIABLE_ASSIGNMENT|[117]|doc|{"Id":"a260H000001koYjQAI","Name":"doc 2","End_Time__c":68400000,"Speciality__c":"General Surgery","Start_Time__c":43200000}|0x27b561b4
13:14:38.0 (21267095)|STATEMENT_EXECUTE|[117]
13:14:38.0 (21269029)|STATEMENT_EXECUTE|[118]
13:14:38.0 (21310838)|HEAP_ALLOCATE|[118]|Bytes:18
13:14:38.0 (21365956)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
13:14:38.0 (21381670)|HEAP_ALLOCATE|[117]|Bytes:5
13:14:38.0 (21401377)|HEAP_ALLOCATE|[117]|Bytes:24
13:14:38.0 (21409527)|VARIABLE_SCOPE_BEGIN|[117]|doc|Doctor__c|true|false
13:14:38.0 (21427412)|VARIABLE_ASSIGNMENT|[117]|doc|{"Id":"a260H000001koYeQAI","Name":"Doc1","End_Time__c":64800000,"Speciality__c":"General Surgery","Start_Time__c":32400000}|0x724935f
13:14:38.0 (21433778)|STATEMENT_EXECUTE|[117]
13:14:38.0 (21435439)|STATEMENT_EXECUTE|[118]
13:14:38.0 (21444285)|HEAP_ALLOCATE|[118]|Bytes:18
13:14:38.0 (21457375)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
13:14:38.0 (21468393)|HEAP_ALLOCATE|[117]|Bytes:5
13:14:38.0 (21478542)|VARIABLE_ASSIGNMENT|[117]|doc|null|
13:14:38.0 (21483186)|STATEMENT_EXECUTE|[124]
13:14:38.0 (21570871)|SYSTEM_MODE_ENTER|true
13:14:38.0 (21890085)|SYSTEM_MODE_ENTER|true
13:14:38.0 (21929124)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:40
13:14:38.0 (21938078)|VARIABLE_SCOPE_BEGIN|[129]|this|docappcontroller|true|false
13:14:38.0 (21974283)|VARIABLE_ASSIGNMENT|[129]|this|{"aptdum":"0x193669df","Docdum":"0x74a09b1","Docmap":"0x43bb55a4","timewraplistInitial":"0x3c02161f"}|0x23f17285
13:14:38.0 (21984742)|STATEMENT_EXECUTE|[129]
13:14:38.0 (21986829)|STATEMENT_EXECUTE|[131]
13:14:38.0 (21995545)|HEAP_ALLOCATE|[131]|Bytes:4
13:14:38.0 (22017059)|VARIABLE_SCOPE_BEGIN|[131]|options|List<System.SelectOption>|true|false
13:14:38.0 (22039254)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
13:14:38.0 (22048376)|VARIABLE_ASSIGNMENT|[131]|options|[]|0x294cba41
13:14:38.0 (22053930)|STATEMENT_EXECUTE|[132]
13:14:38.0 (22092915)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
13:14:38.0 (22101614)|STATEMENT_EXECUTE|[135]
13:14:38.0 (22106473)|HEAP_ALLOCATE|[135]|Bytes:2
13:14:38.0 (22130004)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
13:14:38.0 (22136919)|STATEMENT_EXECUTE|[136]
13:14:38.0 (22140166)|HEAP_ALLOCATE|[136]|Bytes:2
13:14:38.0 (22159996)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
13:14:38.0 (22165901)|STATEMENT_EXECUTE|[141]
13:14:38.0 (22233673)|SYSTEM_MODE_ENTER|true
13:14:38.22 (22806882)|SYSTEM_MODE_ENTER|true
13:14:38.22 (22857562)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
13:14:38.22 (22865804)|VARIABLE_SCOPE_BEGIN|[88]|this|ApexPage.PageMessagesComponentController|true|false
13:14:38.22 (22891043)|VARIABLE_ASSIGNMENT|[88]|this|{}|0x196b6891
13:14:38.22 (22897874)|VARIABLE_SCOPE_BEGIN|[88]|escape|Boolean|false|false
13:14:38.22 (22905507)|VARIABLE_ASSIGNMENT|[88]|escape|null
13:14:38.0 (23085404)|SYSTEM_MODE_ENTER|true
13:14:38.0 (23113526)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
13:14:38.0 (23119252)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:40
13:14:38.0 (23142711)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.Selecteddoc|"a260H000001koYjQAI"|0x23f17285
13:14:38.0 (23186768)|SYSTEM_MODE_ENTER|true
13:14:38.0 (23338602)|SYSTEM_MODE_ENTER|true
13:14:38.0 (23380343)|SYSTEM_MODE_ENTER|true
13:14:38.0 (23396870)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
13:14:38.0 (23401873)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:40
13:14:38.0 (23410671)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this.SelectedtimeSlot|30|0x23f17285
13:14:38.0 (23446272)|SYSTEM_MODE_ENTER|true
13:14:38.0 (23664133)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:40
13:14:38.0 (23673928)|VARIABLE_SCOPE_BEGIN|[13]|this|docappcontroller|true|false
13:14:38.0 (23713336)|VARIABLE_ASSIGNMENT|[13]|this|{"aptdum":"0x193669df","Docdum":"0x74a09b1","Docmap":"0x43bb55a4","Selecteddoc":"a260H000001koYjQAI","SelectedtimeSlot":30,"timewraplistInitial":"0x3c02161f"}|0x23f17285
13:14:38.0 (23725335)|STATEMENT_EXECUTE|[13]
13:14:38.0 (23727242)|STATEMENT_EXECUTE|[14]
13:14:38.0 (23752141)|VARIABLE_SCOPE_BEGIN|[14]|timeset|Set<Time>|true|false
13:14:38.0 (23762968)|VARIABLE_ASSIGNMENT|[14]|timeset|null|
13:14:38.0 (23767234)|STATEMENT_EXECUTE|[15]
13:14:38.0 (23814792)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"aptdum":"0x193669df","Docdum":"0x74a09b1","Docmap":"0x43bb55a4","Selecteddoc":"a260H000001koYjQAI","SelectedtimeSlot":30,"timewraplistInitial":"0x3c02161f"}|0x23f17285
13:14:38.0 (23846124)|USER_DEBUG|[15]|DEBUG|a260H000001koYjQAI
13:14:38.0 (23892060)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"aptdum":"0x193669df","Docdum":"0x74a09b1","Docmap":"0x43bb55a4","Selecteddoc":"a260H000001koYjQAI","SelectedtimeSlot":30,"timewraplistInitial":"0x3c02161f"}|0x23f17285
13:14:38.0 (23931815)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"aptdum":"0x193669df","Docdum":"0x74a09b1","Docmap":"0x43bb55a4","Selecteddoc":"a260H000001koYjQAI","SelectedtimeSlot":30,"timewraplistInitial":"0x3c02161f"}|0x23f17285
13:14:38.0 (23962311)|STATEMENT_EXECUTE|[18]
13:14:38.0 (23964305)|STATEMENT_EXECUTE|[19]
13:14:38.0 (23994239)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"aptdum":"0x193669df","Docdum":"0x74a09b1","Docmap":"0x43bb55a4","Selecteddoc":"a260H000001koYjQAI","SelectedtimeSlot":30,"timewraplistInitial":"0x3c02161f"}|0x23f17285
13:14:38.0 (24023835)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"aptdum":"0x193669df","Docdum":"0x74a09b1","Docmap":"0x43bb55a4","Selecteddoc":"a260H000001koYjQAI","SelectedtimeSlot":30,"timewraplistInitial":"0x3c02161f"}|0x23f17285
13:14:38.0 (24048884)|VARIABLE_SCOPE_BEGIN|[19]|d|Doctor__c|true|false
13:14:38.0 (24067716)|VARIABLE_ASSIGNMENT|[19]|d|{"Id":"a260H000001koYjQAI","Name":"doc 2","End_Time__c":68400000,"Speciality__c":"General Surgery","Start_Time__c":43200000}|0x27b561b4
13:14:38.0 (24074002)|STATEMENT_EXECUTE|[20]
13:14:38.0 (24108055)|HEAP_ALLOCATE|[20]|Bytes:4
13:14:38.0 (24150697)|HEAP_ALLOCATE|[20]|Bytes:150
13:14:38.0 (24166716)|HEAP_ALLOCATE|[20]|Bytes:4
13:14:38.0 (24176956)|HEAP_ALLOCATE|[20]|Bytes:7
13:14:38.0 (24211212)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"aptdum":"0x193669df","Docdum":"0x74a09b1","Docmap":"0x43bb55a4","Selecteddoc":"a260H000001koYjQAI","SelectedtimeSlot":30,"timewraplistInitial":"0x3c02161f"}|0x23f17285
13:14:38.0 (24231347)|HEAP_ALLOCATE|[20]|Bytes:7
13:14:38.0 (24261756)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"aptdum":"0x193669df","Docdum":"0x74a09b1","Docmap":"0x43bb55a4","Selecteddoc":"a260H000001koYjQAI","SelectedtimeSlot":30,"timewraplistInitial":"0x3c02161f"}|0x23f17285
13:14:38.0 (24635240)|SOQL_EXECUTE_BEGIN|[20]|Aggregations:0|SELECT Id, Name, Doctor__c, Patient__c, End_Time__c, Start_Time__c FROM Appointment__c WHERE (Doctor__c = :tmpVar1 AND Appointment_Date__c = :tmpVar2)
13:14:38.0 (28241925)|SOQL_EXECUTE_END|[20]|Rows:1
13:14:38.0 (28264360)|HEAP_ALLOCATE|[20]|Bytes:8
13:14:38.0 (28282668)|HEAP_ALLOCATE|[20]|Bytes:147
13:14:38.0 (28314741)|HEAP_ALLOCATE|[20]|Bytes:8
13:14:38.0 (28341733)|HEAP_ALLOCATE|[20]|Bytes:28
13:14:38.0 (28346994)|HEAP_ALLOCATE|[20]|Bytes:28
13:14:38.0 (28350738)|HEAP_ALLOCATE|[20]|Bytes:4
13:14:38.0 (28359501)|VARIABLE_SCOPE_BEGIN|[20]|aptlist|List<Appointment__c>|true|false
