42.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
15:10:41.0 (104683)|USER_INFO|[EXTERNAL]|005i0000002qYvT|anton@igate.com|India Standard Time|GMT+05:30
15:10:41.0 (321574)|EXECUTION_STARTED
15:10:41.0 (327613)|CODE_UNIT_STARTED|[EXTERNAL]|0660H000004OdRk|VF: /apex/docapp
15:10:41.0 (2162568)|VF_DESERIALIZE_VIEWSTATE_BEGIN|0660H000004OdRk
15:10:41.0 (8919494)|HEAP_ALLOCATE|[72]|Bytes:3
15:10:41.0 (8974867)|HEAP_ALLOCATE|[77]|Bytes:152
15:10:41.0 (8987526)|HEAP_ALLOCATE|[342]|Bytes:408
15:10:41.0 (8999073)|HEAP_ALLOCATE|[355]|Bytes:408
15:10:41.0 (9009247)|HEAP_ALLOCATE|[467]|Bytes:48
15:10:41.0 (9063301)|HEAP_ALLOCATE|[139]|Bytes:6
15:10:41.0 (11815911)|VF_DESERIALIZE_VIEWSTATE_END
15:10:41.12 (12691844)|SYSTEM_MODE_ENTER|true
15:10:41.12 (12853407)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:38
15:10:41.12 (12876385)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
15:10:41.12 (12894694)|SYSTEM_METHOD_ENTRY|[1]|PageMessagesComponentController.PageMessagesComponentController()
15:10:41.12 (12900743)|STATEMENT_EXECUTE|[1]
15:10:41.13 (13855357)|SYSTEM_MODE_ENTER|true
15:10:41.13 (13907073)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:10:41.13 (13915239)|VARIABLE_SCOPE_BEGIN|[88]|this|ApexPage.PageMessagesComponentController|true|false
15:10:41.13 (13950924)|VARIABLE_ASSIGNMENT|[88]|this|{}|0x318d9d57
15:10:41.13 (13957816)|VARIABLE_SCOPE_BEGIN|[88]|escape|Boolean|false|false
15:10:41.13 (13967135)|VARIABLE_ASSIGNMENT|[88]|escape|null
15:10:41.0 (14187997)|SYSTEM_MODE_ENTER|true
15:10:41.0 (14221543)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
15:10:41.0 (14229121)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:248
15:10:41.0 (14233214)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:53
15:10:41.0 (14236798)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
15:10:41.0 (14243938)|METHOD_ENTRY|[1]|01p0H000007gCe8|docappcontroller.docappcontroller()
15:10:41.0 (14248877)|STATEMENT_EXECUTE|[1]
15:10:41.0 (14252337)|STATEMENT_EXECUTE|[1]
15:10:41.0 (14253888)|STATEMENT_EXECUTE|[201]
15:10:41.0 (14257926)|METHOD_EXIT|[1]|docappcontroller
15:10:41.0 (15742046)|SYSTEM_MODE_ENTER|true
15:10:41.0 (16423135)|SYSTEM_MODE_ENTER|true
15:10:41.0 (17695572)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:48
15:10:41.0 (17706575)|VARIABLE_SCOPE_BEGIN|[146]|this|docappcontroller|true|false
15:10:41.0 (17762737)|VARIABLE_ASSIGNMENT|[146]|this|{"aptdum":"0x7fbf8010","Docdum":"0x72c9e24d","Initialselected":0,"timewraplistInitial":"0x7e75f784"}|0x7b6ca7fc
15:10:41.0 (17773373)|STATEMENT_EXECUTE|[146]
15:10:41.0 (17775387)|STATEMENT_EXECUTE|[147]
15:10:41.0 (17779503)|HEAP_ALLOCATE|[147]|Bytes:9
15:10:41.0 (17825814)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"aptdum":"0x7fbf8010","Docdum":"0x72c9e24d","Initialselected":0,"timewraplistInitial":"0x7e75f784"}|0x7b6ca7fc
15:10:41.0 (17891400)|HEAP_ALLOCATE|[147]|Bytes:41
15:10:41.0 (17916358)|HEAP_ALLOCATE|[147]|Bytes:50
15:10:41.0 (17935149)|USER_DEBUG|[147]|DEBUG|hello--->Doctor__c:{Speciality__c=General Surgery}
15:10:41.0 (17975003)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"aptdum":"0x7fbf8010","Docdum":"0x72c9e24d","Initialselected":0,"timewraplistInitial":"0x7e75f784"}|0x7b6ca7fc
15:10:41.0 (18006176)|STATEMENT_EXECUTE|[148]
15:10:41.0 (18008821)|STATEMENT_EXECUTE|[149]
15:10:41.0 (18030333)|HEAP_ALLOCATE|[149]|Bytes:4
15:10:41.0 (18036613)|HEAP_ALLOCATE|[149]|Bytes:104
15:10:41.0 (18046618)|HEAP_ALLOCATE|[149]|Bytes:4
15:10:41.0 (18056340)|HEAP_ALLOCATE|[149]|Bytes:7
15:10:41.0 (18088818)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"aptdum":"0x7fbf8010","Docdum":"0x72c9e24d","Initialselected":0,"timewraplistInitial":"0x7e75f784"}|0x7b6ca7fc
15:10:41.0 (18366243)|SOQL_EXECUTE_BEGIN|[149]|Aggregations:0|SELECT Id, Name, End_Time__c, Speciality__c, Start_Time__c FROM Doctor__c WHERE Speciality__c = :tmpVar1
15:10:41.0 (23345892)|SOQL_EXECUTE_END|[149]|Rows:2
15:10:41.0 (23366707)|HEAP_ALLOCATE|[149]|Bytes:12
15:10:41.0 (23388718)|HEAP_ALLOCATE|[149]|Bytes:227
15:10:41.0 (23419153)|HEAP_ALLOCATE|[149]|Bytes:12
15:10:41.0 (23456962)|HEAP_ALLOCATE|[149]|Bytes:24
15:10:41.0 (23476078)|HEAP_ALLOCATE|[149]|Bytes:4
15:10:41.0 (23482260)|HEAP_ALLOCATE|[149]|Bytes:24
15:10:41.0 (23486820)|HEAP_ALLOCATE|[149]|Bytes:4
15:10:41.0 (23534452)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"aptdum":"0x7fbf8010","Docdum":"0x72c9e24d","Initialselected":0,"timewraplistInitial":"0x7e75f784"}|0x7b6ca7fc
15:10:41.0 (23653813)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|{"a260H000001koYjQAI":{"Id":"a260H000001koYjQAI","Name":"doc 2","End_Time__c":68400000,"Speciality__c":"General Surgery","Start_Time__c":43200000},"a260H000001koYeQAI":{"Id":"a260H000001koYeQAI","Name":"Doc1","End_Time__c":64800000,"Speciality__c":"General Surgery","Start_Time__c":32400000}}|0x4379918
15:10:41.0 (23680475)|VARIABLE_ASSIGNMENT|[136]|this.Docmap|{"a260H000001koYjQAI":{"Id":"a260H000001koYjQAI","Name":"doc 2","End_Time__c":68400000,"Speciality__c":"General Surgery","Start_Time__c":43200000},"a260H000001koYeQAI":{"Id":"a260H000001koYeQAI","Name":"Doc1","End_Time__c":64800000,"Speciality__c":"General Surgery","Start_Time__c":32400000}}|0x7b6ca7fc
15:10:41.0 (23695317)|STATEMENT_EXECUTE|[152]
15:10:41.0 (23746353)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"aptdum":"0x7fbf8010","Docdum":"0x72c9e24d","Docmap":"0x4379918","Initialselected":0,"timewraplistInitial":"0x7e75f784"}|0x7b6ca7fc
15:10:41.0 (23836158)|USER_DEBUG|[152]|DEBUG|{a260H000001koYeQAI=Doctor__c:{Id=a260H000001koYeQAI, Name=Doc1, End_Time__c=18:00:00.000Z, Speciality__c=General Surgery, Start_Time__c=09:00:00.000Z}, a260H000001koYjQAI=Doctor__c:{Id=a260H000001koYjQAI, Name=doc 2, End_Time__c=19:00:00.000Z, Speciality__c=General Surgery, Start_Time__c=12:00:00.000Z}}
