42.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:23:50.0 (67052)|USER_INFO|[EXTERNAL]|005i0000002qYvT|anton@igate.com|India Standard Time|GMT+05:30
16:23:50.0 (99231)|EXECUTION_STARTED
16:23:50.0 (103470)|CODE_UNIT_STARTED|[EXTERNAL]|0660H000004OdRk|VF: /apex/docapp
16:23:50.0 (1426850)|VF_DESERIALIZE_VIEWSTATE_BEGIN|0660H000004OdRk
16:23:50.0 (7338564)|HEAP_ALLOCATE|[72]|Bytes:3
16:23:50.0 (7400690)|HEAP_ALLOCATE|[77]|Bytes:152
16:23:50.0 (7413744)|HEAP_ALLOCATE|[342]|Bytes:408
16:23:50.0 (7425026)|HEAP_ALLOCATE|[355]|Bytes:408
16:23:50.0 (7435813)|HEAP_ALLOCATE|[467]|Bytes:48
16:23:50.0 (7464678)|HEAP_ALLOCATE|[139]|Bytes:6
16:23:50.0 (10346001)|VF_DESERIALIZE_VIEWSTATE_END
16:23:50.11 (11007621)|SYSTEM_MODE_ENTER|true
16:23:50.11 (11093241)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:38
16:23:50.11 (11128303)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:23:50.11 (11158565)|SYSTEM_METHOD_ENTRY|[1]|PageMessagesComponentController.PageMessagesComponentController()
16:23:50.11 (11165144)|STATEMENT_EXECUTE|[1]
16:23:50.12 (12083894)|SYSTEM_MODE_ENTER|true
16:23:50.12 (12141989)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:23:50.12 (12150145)|VARIABLE_SCOPE_BEGIN|[88]|this|ApexPage.PageMessagesComponentController|true|false
16:23:50.12 (12207414)|VARIABLE_ASSIGNMENT|[88]|this|{}|0x20f6decd
16:23:50.12 (12215077)|VARIABLE_SCOPE_BEGIN|[88]|escape|Boolean|false|false
16:23:50.12 (12224901)|VARIABLE_ASSIGNMENT|[88]|escape|null
16:23:50.0 (12393069)|SYSTEM_MODE_ENTER|true
16:23:50.0 (12416270)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:23:50.0 (12423354)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:248
16:23:50.0 (12427283)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:53
16:23:50.0 (12430832)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
16:23:50.0 (12442467)|METHOD_ENTRY|[1]|01p0H000007gCe8|docappcontroller.docappcontroller()
16:23:50.0 (12448121)|STATEMENT_EXECUTE|[1]
16:23:50.0 (12451675)|STATEMENT_EXECUTE|[1]
16:23:50.0 (12453397)|STATEMENT_EXECUTE|[208]
16:23:50.0 (12458503)|METHOD_EXIT|[1]|docappcontroller
16:23:50.0 (13922373)|SYSTEM_MODE_ENTER|true
16:23:50.0 (14597679)|SYSTEM_MODE_ENTER|true
16:23:50.0 (15646137)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:48
16:23:50.0 (15660944)|VARIABLE_SCOPE_BEGIN|[150]|this|docappcontroller|true|false
16:23:50.0 (15716114)|VARIABLE_ASSIGNMENT|[150]|this|{"aptdum":"0x5254fba","Docdum":"0x48bff84f","Initialselected":0,"timewraplistInitial":"0x6d0a7c05"}|0x4c0be62
16:23:50.0 (15726261)|STATEMENT_EXECUTE|[150]
16:23:50.0 (15728431)|STATEMENT_EXECUTE|[151]
16:23:50.0 (15732262)|HEAP_ALLOCATE|[151]|Bytes:9
16:23:50.0 (15776049)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"aptdum":"0x5254fba","Docdum":"0x48bff84f","Initialselected":0,"timewraplistInitial":"0x6d0a7c05"}|0x4c0be62
16:23:50.0 (15845419)|HEAP_ALLOCATE|[151]|Bytes:37
16:23:50.0 (15866719)|HEAP_ALLOCATE|[151]|Bytes:46
16:23:50.0 (15885872)|USER_DEBUG|[151]|DEBUG|hello--->Doctor__c:{Speciality__c=Dermatology}
16:23:50.0 (15927805)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"aptdum":"0x5254fba","Docdum":"0x48bff84f","Initialselected":0,"timewraplistInitial":"0x6d0a7c05"}|0x4c0be62
16:23:50.0 (15958409)|STATEMENT_EXECUTE|[152]
16:23:50.0 (15960572)|STATEMENT_EXECUTE|[153]
16:23:50.0 (15985889)|HEAP_ALLOCATE|[153]|Bytes:4
16:23:50.0 (15992635)|HEAP_ALLOCATE|[153]|Bytes:104
16:23:50.0 (16002069)|HEAP_ALLOCATE|[153]|Bytes:4
16:23:50.0 (16012338)|HEAP_ALLOCATE|[153]|Bytes:7
